Toyota Cars Data
Car Name, Model Code

Avalon, 2018 (XX50)
Camry, 2017 (XV70)
Century, 2018 (G60)
Corolla, 2018 (E210)
Crown, 2018 (S220)
Etios, 2011 (AK10)
Mirai, 2020 (JPD20)
Prius, 2015 (XW50)
Vios, 2013 (XP150)
Agya, 2013 (B100)
Glanza, 2019
Passo, 2016 (M700)
Aqua, 2021 (XP210)
Yaris (XP150), 2013 (XP150)
Yaris (XP210), 2020 (XP210)
4Runner, 2009 (N280)
Aygo X, 2021
C-HR, 2016 (AX10)
Corolla Cross, 2021 (XG10)
FJ Cruiser, 2010 (XJ10)
Fortuner, 2015 (AN150/AN160)
Harrier, 2020 (XU80)
Venza, 2020 (XU80)
Highlander, 2019 (XU70)
Land Cruiser (J70), 1984 (J70)
Land Cruiser (J300), 
Land Cruiser Prado, 2009 (J150)
Raize, 2019 (A200)
RAV4, 2018 (XA50)
Wildlander, 2020 (XA50)
Rush, 2017 (F800/F850)
Sequoia, 2008 (XK60)
Urban Cruiser, 2020
Yaris Cross, 2020 (XP210)
Alphard, 2015 (AH30)
Avanza, 2021 (W100)
Veloz, 2021 (W100)
Calya, 2016 (B400)
Innova, 2015 (AN140)
Noah, 2014 (R80)
Voxy, 2014 (R80)
Esquire, 2014 (R80)
Roomy, 2016 (M900)
Rumion, 2021
Sienna, 2020 (XL40)
Sienta, 2015 (XP170)
HiAce, 
ProAce, 2016
ProAce City, 2019
Probox, 2002 (XP160)
TownAce, 2008 (S400)
Hilux, 2015 (AN120)
Tacoma, 2016 (N300)
Tundra, 2021 (XK70)
GR86, 2021 (ZN8)
Supra, 2019 (J29)
C+pod, 2020 (RMV12)
COMS, 2012
Copen GR Sport, 2019 (LA400)
Pixis Epoch, 2017 (LA350)
Pixis Joy, 2016 (LA250)
Pixis Mega, 2015 (LA700)
Pixis Truck, 2014 (S500)
Pixis Van, 2011 (S320)
Coaster, 2017 (B60/B70)
Dyna, 2011
Sora, 2018
JPN Taxi, 2017 (NTP10)
